2026-04-02 14:07:23 | DEBUG    | tensorflow           | <module>                            | Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
2026-04-02 14:07:24 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 7 to 5
2026-04-02 14:07:24 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 5 to 7
2026-04-02 14:07:24 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 7 to 5
2026-04-02 14:07:24 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 5 to 7
2026-04-02 14:07:27 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\.venv\Lib\site-packages\keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

2026-04-02 14:07:27 | INFO     | ggth                 | log_startup_banner                  | ======================================================================
2026-04-02 14:07:27 | INFO     | ggth                 | log_startup_banner                  |   GGTH Predictor v8  —  session start
2026-04-02 14:07:27 | INFO     | ggth                 | log_startup_banner                  |   Log file: C:\Users\jason\Desktop\GGTH 4-2-26\ggth_predictor.log
2026-04-02 14:07:27 | INFO     | ggth                 | log_startup_banner                  | ======================================================================
2026-04-02 14:07:27 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\.venv\Lib\site-packages\keras\src\backend.py:1398: The name tf.executing_eagerly_outside_functions is deprecated. Please use tf.compat.v1.executing_eagerly_outside_functions instead.

2026-04-02 14:07:27 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\.venv\Lib\site-packages\keras\src\layers\normalization\layer_normalization.py:328: The name tf.nn.fused_batch_norm is deprecated. Please use tf.compat.v1.nn.fused_batch_norm instead.

2026-04-03 11:20:12 | DEBUG    | tensorflow           | <module>                            | Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
2026-04-03 11:20:13 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 7 to 5
2026-04-03 11:20:13 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 5 to 7
2026-04-03 11:20:13 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 7 to 5
2026-04-03 11:20:13 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 5 to 7
2026-04-03 11:20:16 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\.venv\Lib\site-packages\keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

2026-04-03 11:20:17 | INFO     | ggth                 | log_startup_banner                  | ======================================================================
2026-04-03 11:20:17 | INFO     | ggth                 | log_startup_banner                  |   GGTH Predictor v8  —  session start
2026-04-03 11:20:17 | INFO     | ggth                 | log_startup_banner                  |   Log file: C:\Users\jason\Desktop\GGTH 4-2-26\ggth_predictor.log
